team_id,total_score,num_games,wins,losses,power,overall_rank,recent_opponent_1,recent_opponent_2,recent_opponent_3,recent_opponent_4,recent_opponent_5,div_rank,last_rank
St Joseph Santa Maria CA,0,0,0,0,480.8437,-1,0,0,0,0,0,-1,0
Union Grove GA,0,0,0,0,457.6696,-1,0,0,0,0,0,-1,0
Ontario Christian ON,0,0,1,0,454.3900374,-1,481,481,481,481,481,-1,0
Valley Vista AZ,0,0,0,0,450.8152,-1,0,0,0,0,0,-1,0
Bishop McNamara MD,0,0,1,0,450.7862501,-1,481,481,481,481,481,-1,0
Clovis West CA,0,0,1,0,450.0911953,-1,19,19,19,19,19,-1,0
Folsom CA,0,0,0,0,448.4584,-1,0,0,0,0,0,-1,0
Putnam City West OK,0,0,0,0,445.2351,-1,0,0,0,0,0,-1,0
Centennial NV,0,0,2,0,441.037349,-1,5,19,5,19,5,-1,0
Ridgeline UT,0,0,1,0,436.9433996,-1,559,559,559,559,559,-1,0
Moreno Valley CA,0,0,1,0,434.9736499,-1,647,647,647,647,647,-1,0
Northside AR,0,0,0,0,434.0995395,-1,481,481,481,481,481,-1,0
Rancho Christian Temecula CA,0,0,1,0,432.5502498,-1,40,40,40,40,40,-1,0
Westlake GA,0,0,0,0,431.3963,-1,0,0,0,0,0,-1,0
Middleton ID,0,0,1,0,428.3051271,-1,328,328,328,328,328,-1,0
Lowndes GA,0,0,0,0,428.131,-1,0,0,0,0,0,-1,0
Fresno Central CA,0,0,0,0,427.9235,-1,0,0,0,0,0,-1,0
Osbourn Park VA,0,0,2,0,425.7944667,-1,647,419,647,419,647,-1,0
Mary Louis Academy NY,0,0,0,0,423.1395676,-1,517,517,517,517,517,-1,0
Sierra Canyon CA,0,0,0,0,422.2847,-1,0,0,0,0,0,-1,0
Coeur D'Alene ID,0,0,0,0,421.867,-1,0,0,0,0,0,-1,0
Flowing Wells AZ,0,0,0,0,421.7272,-1,0,0,0,0,0,-1,0
Conway AR,0,0,0,0,421.0823426,-1,721,12,721,12,721,-1,0
Bullis MD,0,0,1,0,419.0741876,-1,721,721,721,721,721,-1,0
Democracy Prep Agassi NV,0,0,1,0,418.4628629,-1,419,419,419,419,419,-1,0
Steele TX,0,0,0,0,417.710721,-1,12,12,12,12,12,-1,0
RIverdale Baptist Upper Marlboro MD,0,0,1,0,417.1539949,-1,5,5,5,5,5,-1,0
Grandview,0,0,23,3,415.5142265,1,19,35,31,2,5,1,0
Norman OK,0,0,0,0,415.3898,-1,0,0,0,0,0,-1,0
Bonita Vista CA,0,0,0,0,415.3618,-1,0,0,0,0,0,-1,0
George Rogers Clark KY,0,0,0,1,414.8876128,-1,721,721,721,721,721,-1,0
Springfield OR,0,0,0,0,413.7712205,-1,481,419,481,419,481,-1,0
Valor Christian,0,0,23,3,413.6444146,2,647,9,466,39,12,2,0
Madison Rexburg ID,0,0,1,0,413.0363674,-1,517,517,517,517,517,-1,0
Mt Zion Prep Academy MD,0,0,3,1,412.5586301,-1,19,419,721,481,19,-1,0
St Francis Prep Fresh Meadows NY,0,0,1,0,412.4607749,-1,9,9,9,9,9,-1,0
La Jolla Country Day CA,0,0,1,0,412.2534895,-1,2,2,2,2,2,-1,0
Union OK,0,0,0,0,410.7729747,-1,34,34,34,34,34,-1,0
South Grand Prairie TX,0,0,0,1,410.6422867,-1,481,481,481,481,481,-1,0
Orange Lutheran CA,0,0,0,0,410.4472,-1,0,0,0,0,0,-1,0
Cardinal O'Hara NY,0,0,0,0,410.0950471,-1,21,21,21,21,21,-1,0
Wagner TX,0,0,0,0,409.6492438,-1,481,721,481,721,481,-1,0
Bishop Gorman NV,0,0,0,1,408.2044534,-1,481,481,481,481,481,-1,0
St Marys Stockton CA,0,0,1,0,407.8669563,-1,19,19,19,19,19,-1,0
Skutt Catholic NE,0,0,0,0,406.7685191,-1,9,9,9,9,9,-1,0
Legend,0,0,21,5,406.419828,3,721,517,336,17,16,3,0
Millard West Omaha NE,0,0,1,0,406.1317196,-1,559,559,559,559,559,-1,0
Argyle TX,0,0,1,0,405.4124941,-1,114,114,114,114,114,-1,0
Bob Jones AL,0,0,0,0,405.0417386,-1,5,5,5,5,5,-1,0
Millennium AZ,0,0,2,0,404.2442192,-1,419,2,419,2,419,-1,0
Westview SD CA,0,0,1,0,403.0426178,-1,12,12,12,12,12,-1,0
Nixa MO,0,0,1,0,402.5949338,-1,114,114,114,114,114,-1,0
Pine Creek,0,0,24,2,402.4092469,4,2,592,6,9,48,4,0
La Vega Waco TX,0,0,1,0,402.1888479,-1,517,517,517,517,517,-1,0
Bishop Odowd CA,0,0,0,0,402.0912272,-1,419,419,419,419,419,-1,0
Riverdale Ridge,0,0,21,5,401.2114909,5,16,70,498,33,309,5,0
Spring-Ford PA,0,0,0,0,401.1268,-1,0,0,0,0,0,-1,0
Broomfield,0,0,23,2,400.449461,6,559,447,4,328,593,6,0
Cherry Creek,0,0,18,8,400.3797248,7,480,41,18,481,419,7,0
Cherokee Trail,0,0,15,10,399.8523324,8,16,638,5,2,3,8,0
Edge Calgary Alberta,0,0,0,0,398.9219,-1,0,0,0,0,0,-1,0
Elizabeth Seton MD,0,0,0,1,398.33506,-1,481,481,481,481,481,-1,0
Regis,0,0,18,7,398.1634421,9,647,12,716,15,638,9,0
St Anthony Long Beach CA,0,0,0,0,397.7263,-1,0,0,0,0,0,-1,0
Brentwood LA CA,0,0,0,0,397.3662,-1,0,0,0,0,0,-1,0
Highlands Ranch,0,0,22,4,397.2930368,10,559,419,478,447,647,10,0
Sacred Heart Cathedral SF CA,0,0,2,0,397.2291687,-1,5,205,5,205,5,-1,0
Choctaw OK,0,0,0,0,397.2027417,-1,34,34,34,34,34,-1,0
Sidney NE,0,0,2,0,396.9730557,-1,112,148,112,148,112,-1,0
Air Academy,0,0,25,0,395.7134039,11,84,591,86,140,690,1,0
Liberty Frisco TX,0,0,0,0,394.6532816,-1,559,559,559,559,559,-1,0
Purcell Marian Cincinnati OH,0,0,0,1,394.565132,-1,481,481,481,481,481,-1,0
South Beauregard LA,0,0,0,0,394.4411,-1,0,0,0,0,0,-1,0
Centennial Corona CA,0,0,0,0,394.0576,-1,0,0,0,0,0,-1,0
Vanden Fairfield CA,0,0,0,0,393.7337,-1,0,0,0,0,0,-1,0
Omaha Westside NE,0,0,0,0,393.5840693,-1,9,9,9,9,9,-1,0
Colby KS,0,0,1,0,393.2481947,-1,210,210,210,210,210,-1,0
Denver East,0,0,17,9,393.2325587,12,481,38,3,498,466,11,0
Timpview UT,0,0,0,0,392.643,-1,0,0,0,0,0,-1,0
Mullen,0,0,17,9,392.5974724,13,114,140,117,419,481,2,0
Lake Ridge TX,0,0,0,0,392.5586,-1,0,0,0,0,0,-1,0
Long Beach Poly CA,0,0,0,0,392.4035941,-1,16,16,16,16,16,-1,0
Buchanan CA,0,0,0,0,392.2382,-1,0,0,0,0,0,-1,0
Caruthers CA,0,0,0,0,391.4823,-1,0,0,0,0,0,-1,0
Westlake UT,0,0,0,0,390.6225,-1,0,0,0,0,0,-1,0
Windsor,0,0,21,5,390.1650412,14,5,91,318,32,35,3,0
Desert Oasis NV,0,0,0,0,390.0538,-1,0,0,0,0,0,-1,0
Cookeville TN,0,0,0,0,389.7659,-1,0,0,0,0,0,-1,0
St Joseph-by-the-Sea NY,0,0,0,0,389.3543411,-1,19,19,19,19,19,-1,0
Sheridan WY,0,0,0,0,387.3264,-1,0,0,0,0,0,-1,0
Mead,0,0,23,3,387.232151,15,130,67,13,137,70,4,0
Sandia Prep NM,0,0,0,0,387.2319,-1,0,0,0,0,0,-1,0
Marlborough LA CA,0,0,1,0,386.9819144,-1,12,12,12,12,12,-1,0
Olympian Chula Vista CA,0,0,0,0,386.6668,-1,0,0,0,0,0,-1,0
Willamette OR,0,0,0,0,386.10344,-1,481,481,481,481,481,-1,0
West Orange NJ,0,0,0,0,386.0659463,-1,31,31,31,31,31,-1,0
Salt Lake City East UT,0,0,0,0,386.057,-1,0,0,0,0,0,-1,0
Arvada West,0,0,21,4,385.4391253,16,19,170,592,40,31,12,0
Hillcrest ID,0,0,1,0,385.0646342,-1,328,328,328,328,328,-1,0
Plano West TX,0,0,0,0,384.6301936,-1,34,721,34,721,34,-1,0
Desert Vista AZ,0,0,0,2,384.0064189,-1,419,647,419,647,419,-1,0
Cody WY,0,0,1,1,383.2599444,-1,40,19,40,19,40,-1,0
Mission Hills CA,0,0,1,0,382.8880259,-1,12,12,12,12,12,-1,0
Hobbs NM,0,0,0,0,382.4305,-1,0,0,0,0,0,-1,0
Doherty,0,0,18,7,382.0812742,17,721,716,480,681,101,13,0
Holcomb KS,0,0,0,0,381.6458,-1,0,0,0,0,0,-1,0
Rock Canyon,0,0,13,10,381.6395028,18,9,517,570,16,647,14,0
Clovis NM,0,0,0,0,381.136,-1,0,0,0,0,0,-1,0
Rocky Mountain,0,0,18,7,381.1243149,19,481,681,336,114,40,15,0
Fairmont Prep CA,0,0,0,0,380.854408,-1,447,447,447,447,447,-1,0
Mesquite AZ,0,0,0,0,380.1806,-1,0,0,0,0,0,-1,0
Chaparral AZ,0,0,0,0,379.9944,-1,0,0,0,0,0,-1,0
Seton Catholic AZ,0,0,0,0,379.9606,-1,0,0,0,0,0,-1,0
Park Hill South MO,0,0,0,0,379.5162188,-1,5,5,5,5,5,-1,0
Olathe East KS,0,0,0,0,378.948616,-1,103,103,103,103,103,-1,0
Arapahoe,0,0,12,12,378.9483108,20,517,3,7,721,5,16,0
Liberty NV,0,0,0,0,378.8877494,-1,3,3,3,3,3,-1,0
Navajo Prep NM,0,0,0,0,378.6632108,-1,83,83,83,83,83,-1,0
Eastside Catholic WA,0,0,0,0,378.5432,-1,0,0,0,0,0,-1,0
Skyline Idaho Falls ID,0,0,0,1,377.5008028,-1,328,328,328,328,328,-1,0
Guyer TX,0,0,0,0,377.4479,-1,0,0,0,0,0,-1,0
Alliance NE,0,0,0,0,377.3389635,-1,112,112,112,112,112,-1,0
Skyline TX,0,0,0,0,376.7873,-1,0,0,0,0,0,-1,0
Campbell County WY,0,0,0,0,376.7111484,-1,40,19,40,19,40,-1,0
Columbine,0,0,18,7,376.6675601,21,2,479,40,60,592,17,0
Ralston Valley,0,0,13,12,376.6284856,22,480,85,38,41,721,18,0
Green Mountain,0,0,24,2,375.9634071,23,131,690,81,61,55,5,0
Mountain Vista,0,0,14,9,375.6872833,24,419,478,18,447,517,19,0
Tipton MO,0,0,0,1,375.6651159,-1,480,480,480,480,480,-1,0
Trinity Academy KS,0,0,0,0,375.4315,-1,0,0,0,0,0,-1,0
Liberal KS,0,0,1,0,374.6049836,-1,129,129,129,129,129,-1,0
Hardin-Jefferson TX,0,0,0,0,374.5708219,-1,2,2,2,2,2,-1,0
Farmington NM,0,0,1,0,374.3641761,-1,84,84,84,84,84,-1,0
Santiago CA,0,0,0,0,373.9958,-1,0,0,0,0,0,-1,0
Xavier College Prep AZ,0,0,0,2,373.7696141,-1,19,5,19,5,19,-1,0
Birmingham CA,0,0,0,0,373.4002,-1,0,0,0,0,0,-1,0
JSerra Catholic CA,0,0,0,1,373.3532399,-1,19,19,19,19,19,-1,0
Roosevelt,0,0,22,4,373.2046491,25,59,23,158,67,1018,6,0
Fossil Ridge,0,0,15,10,373.1538932,26,647,20,35,34,63,20,0
Hugoton KS,0,0,0,0,372.3204,-1,0,0,0,0,0,-1,0
Pacific Palisades CA,0,0,0,0,372.1562945,-1,466,466,466,466,466,-1,0
Life Prep KS,0,0,0,1,371.9309614,-1,480,480,480,480,480,-1,0
Thunderridge,0,0,12,13,371.2966294,27,70,34,16,50,638,21,0
McDowell Erie PA,0,0,0,0,371.1692354,-1,31,31,31,31,31,-1,0
North Platte NE,0,0,0,0,371.0782,-1,0,0,0,0,0,-1,0
University,0,0,25,0,369.9892188,28,357,344,636,144,137,1,0
Lone Peak UT,0,0,0,2,369.4388489,-1,5,559,5,559,5,-1,0
Northfield,0,0,12,11,369.1981973,29,559,19,18,26,19,22,0
Kirtland Central NM,0,0,0,0,368.2309136,-1,83,83,83,83,83,-1,0
Eaglecrest,0,0,14,11,367.6733638,30,19,4,12,6,419,23,0
Roswell NM,0,0,0,0,366.5282,-1,0,0,0,0,0,-1,0
Green River WY,0,0,0,1,365.6397851,-1,38,38,38,38,38,-1,0
Deer Valley AZ,0,0,0,0,365.5601146,-1,40,12,2,721,40,-1,0
Poudre,0,0,10,14,365.4495322,31,447,30,336,35,114,24,0
Kings Park NY,0,0,0,0,365.4495,-1,0,0,0,0,0,-1,0
Overland,0,0,14,11,364.8197214,32,480,1,7,3,2,25,0
Merino,0,0,23,1,364.5658362,33,164,253,409,256,145,1,0
Fruita,0,0,17,7,364.3293992,34,592,84,87,120,1148,26,0
Chaparral,0,0,14,11,364.2750108,35,16,21,638,17,647,27,0
Liverpool NY,0,0,0,0,363.951395,-1,31,31,31,31,31,-1,0
Cardinal Newman CA,0,0,0,0,363.8868,-1,0,0,0,0,0,-1,0
Vista Peak,0,0,10,14,363.7798288,36,721,593,18,19,23,28,0
Paramount CA,0,0,0,0,363.0643911,-1,16,16,16,16,16,-1,0
Emery UT,0,0,0,0,363.0105797,-1,85,85,85,85,85,-1,0
Rigby ID,0,0,0,1,362.8776889,-1,517,517,517,517,517,-1,0
Forest Grove OR,0,0,0,0,362.8352,-1,0,0,0,0,0,-1,0
Hays KS,0,0,0,1,362.7451811,-1,517,517,517,517,517,-1,0
Volcano Vista NM,0,0,1,0,362.6825878,-1,84,84,84,84,84,-1,0
Dobson AZ,0,0,0,1,362.6169621,-1,9,9,9,9,9,-1,0
Chatfield,0,0,9,15,362.6010606,37,31,41,38,35,39,29,0
Thunder Basin WY,0,0,0,0,362.5094,-1,0,0,0,0,0,-1,0
Clovis East CA,0,0,0,1,362.062621,-1,6,6,6,6,6,-1,0
Monarch,0,0,15,9,361.7957904,38,41,29,642,559,4,30,0
Sunnyslope AZ,0,0,0,0,361.7829,-1,0,0,0,0,0,-1,0
Vista Ridge,0,0,17,7,361.6770994,39,35,48,81,9,480,31,0
Central Catholic Portland OR,0,0,0,0,361.3739,-1,0,0,0,0,0,-1,0
Juneau-Douglas AK,0,0,1,0,360.8478751,-1,570,570,570,570,570,-1,0
Kennedy Fremont CA,0,0,0,0,360.7621,-1,0,0,0,0,0,-1,0
Pinnacle AZ,0,0,0,1,360.6460339,-1,419,419,419,419,419,-1,0
Rolling Hills Prep CA,0,0,0,0,360.4227642,-1,74,73,74,73,74,-1,0
Oregon City OR,0,0,0,1,360.1617676,-1,9,9,9,9,9,-1,0
Midlothian TX,0,0,0,0,359.8438,-1,0,0,0,0,0,-1,0
Hebron TX,0,0,0,1,359.6022367,-1,517,517,517,517,517,-1,0
Logan UT,0,0,0,0,359.4788,-1,0,0,0,0,0,-1,0
Harpeth Hall TN,0,0,0,0,359.1301565,-1,5,5,5,5,5,-1,0
Frederick,0,0,19,7,358.8762492,40,328,45,78,64,4,7,0
Pinole Valley CA,0,0,0,0,358.4065,-1,0,0,0,0,0,-1,0
Rangeview,0,0,12,13,358.2454039,41,2,491,466,498,638,32,0
Cornerstone Christian San Antonio TX,0,0,0,0,358.2422,-1,0,0,0,0,0,-1,0
Faith Lutheran NV,0,0,1,0,358.2229278,-1,18,18,18,18,18,-1,0
Lutheran,0,0,13,12,358.0637778,42,5,57,44,78,45,8,0
Holy Family,0,0,16,8,358.0374987,43,1147,723,639,132,328,2,0
Erie,0,0,15,9,357.8214028,44,38,31,69,65,29,33,0
Hun NJ,0,0,0,0,357.6215295,-1,19,19,19,19,19,-1,0
Natrona County WY,0,0,0,1,357.5100268,-1,38,38,38,38,38,-1,0
Colonial Orlando FL,0,0,0,1,357.2262174,-1,114,114,114,114,114,-1,0
Denver Christian,0,0,24,1,356.9025973,45,313,142,1158,205,535,1,0
