id,home_team_id,visitor_team_id,original_home_score,original_visitor_score,home_z_score,visitor_z_score,week_id,flagged,invalid,home_field_advantage
45108,Abilene Chr,Southern Utah,28,25,1.486972586,-1.486972586,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45299,Adams St,Ft Lewis,17,27,-0.238986683,0.238986683,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45132,Adrian,Kalamazoo,35,21,-0.174168006,0.174168006,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45351,Akron,Buffalo,30,41,-1.198190808,1.198190808,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45337,Alabama A&M,Southern Univ,20,25,-0.906998491,0.906998491,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45222,Albright,Alvernia,22,19,1.90824244,-1.90824244,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45427,Alcorn St,Alabama St,17,21,-0.645951607,0.645951607,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,FALSE
45223,Alfred,St John Fisher,34,31,-0.590509096,0.590509096,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45257,Alfred St,Gallaudet,28,26,0.576020078,-0.576020078,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45109,Allen,Central St OH,41,3,3.851585815,-3.851585815,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45110,Alma,Trine,41,16,-0.177430747,0.177430747,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45095,American Intl,Assumption,27,24,2.98961994,-2.98961994,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45414,Amherst,Trinity CT,20,45,-0.190737507,0.190737507,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45118,Angelo St,C Washington,17,16,0.249978654,-0.249978654,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45259,Anna Maria,Dean,63,0,0.434639903,-0.434639903,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45123,Appalachian St,Old Dominion,28,20,2.540177236,-2.540177236,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45382,Arizona Chr,MT Tech,24,56,0.245539383,-0.245539383,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45245,Ark Monticello,OK Baptist,24,20,0.170090578,-0.170090578,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45352,Arkansas,Mississippi,31,63,-1.467638472,1.467638472,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45305,Arkansas Tech,East Central OK,13,23,-2.051837946,2.051837946,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45187,Army,Air Force,20,3,-0.902485725,0.902485725,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45311,Auburn,Vanderbilt,7,17,-0.686453336,0.686453336,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45107,Augustana SD,Concordia SP,28,7,-0.577511583,0.577511583,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45246,Aurora,Benedictine IL,56,20,-0.480874888,0.480874888,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45164,Ave Maria,Warner,44,7,1.159186982,-1.159186982,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45317,Averett,Shenandoah,14,41,0.222448919,-0.222448919,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45144,Baldwin-Wallace,Muskingum,54,17,2.006123033,-2.006123033,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45230,Barton,Catawba,49,35,1.834097559,-1.834097559,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45410,Bates,Bowdoin,24,35,-1.959458722,1.959458722,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45151,Baylor,TCU,37,34,-0.001532742,0.001532742,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45329,Belhaven MS,Maryville TN,11,42,-0.32106095,0.32106095,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45310,Beloit,Lake Forest,17,62,0.245556468,-0.245556468,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45215,Bemidji St,Wayne St NE,37,20,1.831303101,-1.831303101,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45195,Berry,Centre,28,21,0.131404928,-0.131404928,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45411,Bethany WV,Geneva,27,34,0.381739574,-0.381739574,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45161,Bethel MN,Carleton MN,56,7,-0.019947794,0.019947794,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45418,Bethel TN,Campbellsville,10,14,-0.638596536,0.638596536,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45162,Bethune-Cookman,Grambling,24,21,2.074560493,-2.074560493,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45340,Bluefield Univ,Reinhardt,16,24,0.222024344,-0.222024344,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45093,Boise St,San Diego St,56,24,-0.321244624,0.321244624,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45180,Brevard,Methodist,44,21,-0.277272494,0.277272494,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45344,Briar Cliff,Dordt,7,55,-0.039381774,0.039381774,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45250,Bridgewater MA,Fitchburg St,17,9,-0.053533256,0.053533256,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45372,Bridgewater VA,Hampden-Sydney,21,28,-3.066792191,3.066792191,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45407,Brown,Penn,28,38,-2.425335806,2.425335806,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45341,Bryant,Stony Brook,30,31,1.760124678,-1.760124678,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45194,Bucknell,Lafayette,21,14,2.412058049,-2.412058049,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45291,Buena Vista,Coe,13,35,1.007876365,-1.007876365,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45096,Butler,Stetson,46,13,0.100165258,-0.100165258,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45166,CO Mesa,Black Hills St,23,13,0.291191521,-0.291191521,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45286,CS Sacramento,Portland St,38,58,-2.161253955,2.161253955,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45360,Cal Poly,Montana,7,42,-1.337165423,1.337165423,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45287,Capital,Mt Union,0,54,0.345085481,-0.345085481,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45100,Carnegie Mellon,Westminster PA,45,20,1.060065334,-1.060065334,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45167,Carroll MT,Southern Oregon,21,17,2.259598235,-2.259598235,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45268,Carson-Newman,Anderson SC,28,7,-0.027699175,0.027699175,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45101,Carthage,North Park,22,21,2.856738828,-2.856738828,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45363,Case Western,Wash & Jeff,21,34,-0.820232645,0.820232645,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45364,Castleton,Worcester St,6,31,-3.254175875,3.254175875,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45242,Catholic,Keystone,42,24,0.490718795,-0.490718795,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45278,Cent Methodist,W Woods,29,22,-0.136457414,0.136457414,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45179,Central Conn,Wagner,24,14,0.344525824,-0.344525824,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45137,Central IA,Loras,45,7,-0.419789577,0.419789577,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45289,Chadron St,S Dakota Tech,17,24,-0.417364088,0.417364088,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45196,Chapman,Claremont M.S.,9,7,0.044247262,-0.044247262,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45290,Charleston So,Gardner Webb,14,17,0.007546017,-0.007546017,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45283,Charlotte,Tulane,3,34,-0.858568925,0.858568925,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45198,Chris Newport,Wm Paterson,45,7,0.210276373,-0.210276373,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45281,Clarion,Slippery Rock,22,38,0.222213749,-0.222213749,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45173,Clark Atlanta,Tuskegee,36,28,2.399971234,-2.399971234,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45417,Clarke,Baker KS,17,37,0.955393733,-0.955393733,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45358,Clemson,Louisville,21,33,-2.516767388,2.516767388,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45424,Coast Guard,Worcester Tech,14,38,-1.003027844,1.003027844,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45404,Colby,Tufts,21,28,-1.036193699,1.036193699,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45395,College of NJ,Salisbury,35,52,-0.012401124,0.012401124,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45094,Columbia,Yale,13,10,1.088717523,-1.088717523,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45106,Concordia Mhd,Augsburg,38,7,0.313794956,-0.313794956,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45271,Concordia NE,Hastings,42,6,-0.265084015,0.265084015,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45134,Concordia WI,Lakeland,37,34,0.473142126,-0.473142126,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45091,Connecticut,Georgia St,34,27,0.133261338,-0.133261338,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45133,Cornell IA,Knox,44,14,0.563105637,-0.563105637,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45260,Cortland St,Hartwick,68,10,-0.900671134,0.900671134,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45397,Crown MN,MN Morris,6,27,-1.416800886,1.416800886,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45368,Cumberland TN,Lindsey Wilson,17,20,-1.416473677,1.416473677,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45294,Dartmouth,Harvard,27,31,-1.694503218,1.694503218,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45225,Dickinson,Gettysburg,34,14,0.292155025,-0.292155025,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45112,Drake,Marist,19,0,-0.570114339,0.570114339,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45200,Duquesne,Mercyhurst,31,24,-1.207168017,1.207168017,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45182,E Illinois,W Illinois,45,38,2.131296378,-2.131296378,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45296,E Michigan,Toledo,28,29,0.063899253,-0.063899253,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45315,E Texas Bap,M Hardin-Baylor,14,27,-0.464012505,0.464012505,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45297,E Washington,Montana St,28,42,0.188672043,-0.188672043,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45103,Eastern Oregon,Col of Idaho,30,24,2.325798237,-2.325798237,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45240,Eastern Univ,Misericordia,31,10,1.537687012,-1.537687012,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45232,Edinboro,Seton Hill,24,22,0.857296863,-0.857296863,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45409,Eliz. City St,Bowie St,6,48,-1.521147476,1.521147476,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45098,Elon,Campbell,50,27,1.599200125,-1.599200125,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45370,Emporia St,Fort Hays St,7,36,-2.841273977,2.841273977,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45149,Endicott,Nichols,50,10,-0.732294853,0.732294853,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45385,Erskine,West Florida,0,70,-0.675405062,0.675405062,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45369,Evangel,McPherson,27,34,-2.392268395,2.392268395,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45285,FL Atlantic,South Florida,21,44,-1.39967144,1.39967144,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45120,FL Memorial,Thomas GA,75,21,0.685643729,-0.685643729,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45201,Fairmont St,Concord,34,19,-0.642318693,0.642318693,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45258,Findlay,Walsh,28,17,-0.426338496,0.426338496,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45428,Florida,Georgia,20,34,-0.056222521,0.056222521,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,FALSE
